0,4.22E+06
0.5,7.97E+06
1,1.45E+07
1.5,1.92E+07
2,2.20E+07
2.5,2.30E+07
3,2.20E+07
3.5,1.92E+07
4,1.45E+07
4.5,7.97E+06
5,4.22E+06
